district,mandal,gramPanchayat,hamlet,params.lattitude,params.longitude,params.noOfHouses,params.population,params.isLakeTankWithin1km,params.isRiverCanalPassingThroughVillage,params.noOfOpenWells,params.distanceOfPaddyAgriculture,params.noOfHousesWithMatsNets,params.noOfHousesWithToilets,params.noOfToiletsWithOpenVentPipes,params.noOfHousesWithKitchenGarden,params.noOfHousesWithStorageUnits,params.noOfHousesWithOpenDrainage,params.noOfHousesWithNoConcreteRoof,params.noOfHealthCentersWithin3Kms,params.distanceOfDumpingYardFromVillageSite,params.noOfMalariaCasesReportedLastWeek
d1,m1,gp1,h1,17.30157928,81.31021593,69,200,1,1,0,1,0,18,0,0,1,0,66,0,0,39
d2,m2,gp2,h2,17.330499,81.491507,88,299,0,1,0,0.5,0,81,0,0,0,0,72,1,0,82
d3,m3,gp3,h3,17.317557,81.29968709,88,330,1,1,0,5,0,66,24,8,5,20,30,0,0,41
d4,m4,gp4,h4,17.25867444,81.37499574,30,129,1,1,1,0.5,0,21,18,0,0,1,3,1,0,12
d5,m5,gp5,h5,17.2273739,81.505599,29,93,0,1,2,1,0,19,18,0,3,0,4,2,0,36
d6,m6,gp6,h6,17.26781058,84.52598151,77,245,1,1,1,0.5,0,4,4,0,13,10,27,0,0,30
d7,m7,gp7,h7,17.25323991,81.55311913,32,107,1,0,0,0.01,0,27,25,0,0,0,5,0,0,20
d8,m8,gp8,h8,17.26800263,81.57811045,23,77,0,0,1,1,0,20,17,0,2,8,1,1,0,53
d9,m9,gp9,h9,17.23026196,81.0872169,58,307,1,0,0,0.01,0,43,12,10,6,10,13,2,0,52
d10,m10,gp10,h10,17.22117559,81.1578894,72,272,0,0,0,5,0,60,52,5,17,0,8,1,0,15
d11,m11,gp11,h11,17.22301607,81.19685376,17,62,1,0,0,1,0,16,1,0,0,0,3,1,0,5
d12,m12,gp12,h12,17.313801,81.237094,27,86,1,0,0,0.5,0,17,5,6,6,6,4,1,0.01,80
d13,m13,gp13,h13,17.4589307,81.2538235,65,218,1,1,0,0.01,0,0,0,0,26,1,40,0,0,71
d14,m14,gp14,h14,17.4802879,81.3704833,118,338,1,1,1,0.01,6,4,4,21,39,0,61,1,0.01,59
d15,m15,gp15,h15,17.4652717,81.4767543,70,230,0,1,0,0.01,17,0,0,3,0,4,4,1,0.01,78
d16,m16,gp16,h16,17.4630283,81.4076236,62,191,1,1,0,0.5,0,0,0,10,0,5,56,0,0.01,14
d17,m17,gp17,h17,17.555403,81.111015,125,468,1,0,0,1,0,1,1,0,10,31,20,1,1,63
d18,m18,gp18,h18,17.499184,81.142256,71,217,1,0,0,1,0,27,12,0,0,0,71,0,0,12
d19,m19,gp19,h19,17.589763,80.970973,50,187,1,1,0,0.5,0,0,0,0,10,0,32,1,0,25
d20,m20,gp20,h20,17.577835,81.036755,35,135,1,1,0,1,0,0,0,0,5,4,12,2,0,13
d21,m21,gp21,h21,17.18178292,81.24334661,85,287,1,1,0,1,16,47,24,11,29,13,16,0,0,51
d22,m22,gp22,h22,17.21569846,81.36412061,64,229,0,0,0,0.02,0,48,47,22,11,14,0,1,0,57
d23,m23,gp23,h23,17.19348399,81.42447634,116,336,0,0,0,5,0,91,3,1,3,0,70,1,0,66
d24,m24,gp24,h24,17.26781058,81.56411853,158,575,1,0,5,0.01,0,80,80,60,36,158,20,2,0,8
d25,m25,gp25,h25,17.208003,81.514399,127,608,0,1,4,0.01,0,64,64,4,0,19,17,2,0,46
d26,m26,gp26,h26,17.24149941,81.58542694,20,66,1,1,3,0.01,0,14,14,0,1,3,10,3,0.01,49
d27,m27,gp27,h27,17.18716167,81.1827016105,40,140,0,0,0,2,0,33,7,1,2,0,6,1,0,47
d28,m28,gp28,h28,17.18413004,81.2081076,155,566,0,0,0,1,0,144,58,120,8,0,47,1,0.01,41
d29,m29,gp29,h29,17.18489341,81.22332213,59,201,1,1,2,0.01,2,49,45,48,3,32,1,1,0.01,24
